  QueueTimes | ServiceTimes | SojournTimes
       0.052 |        0.164 |        0.217
       0.215 |        0.177 |        0.392
       0.374 |        0.159 |        0.534
       0.074 |        0.172 |        0.246
       0.208 |        0.177 |        0.385
       0.073 |        0.187 |        0.261
       0.072 |        0.190 |        0.262
       0.054 |        0.162 |        0.216
       0.223 |        0.164 |        0.388
       0.273 |        0.176 |        0.449
       0.215 |        0.191 |        0.407
       0.061 |        0.181 |        0.242
       0.068 |        0.183 |        0.251
       0.054 |        0.184 |        0.238
       0.161 |        0.189 |        0.349
       0.378 |        0.174 |        0.552
       0.177 |        0.196 |        0.373
       0.056 |        0.195 |        0.251
       0.069 |        0.126 |        0.195
       0.052 |        0.105 |        0.157
       0.176 |        0.197 |        0.373
       0.168 |        0.208 |        0.375
       0.336 |        0.193 |        0.529
       0.103 |        0.319 |        0.422
       0.347 |        0.273 |        0.621
       0.060 |        0.247 |        0.307
       0.057 |        0.246 |        0.303
       0.127 |        0.230 |        0.357
       0.123 |        0.244 |        0.367
       0.137 |        0.230 |        0.367
       0.056 |        0.169 |        0.225
       0.054 |        0.176 |        0.231
       0.137 |        0.208 |        0.345
       0.057 |        0.198 |        0.256
       0.057 |        0.176 |        0.233
       0.055 |        0.156 |        0.211
       0.077 |        0.181 |        0.258
       0.180 |        0.181 |        0.361
       0.062 |        0.163 |        0.225
       0.086 |        0.194 |        0.280
       0.132 |        0.164 |        0.295
       0.195 |        0.213 |        0.408
       0.190 |        0.218 |        0.408
       0.081 |        0.198 |        0.279
       0.058 |        0.202 |        0.260
       0.056 |        0.212 |        0.268
       0.202 |        0.244 |        0.445
       0.249 |        0.316 |        0.565
       0.487 |        0.306 |        0.793
       0.018 |        0.296 |        0.314
       0.061 |        0.304 |        0.365
       0.059 |        0.292 |        0.351
       0.449 |        0.289 |        0.738
       0.239 |        0.308 |        0.547
       0.248 |        0.342 |        0.590
       0.269 |        0.298 |        0.566
       0.190 |        0.278 |        0.468
       0.218 |        0.302 |        0.520
       0.254 |        0.165 |        0.419
       0.094 |        0.174 |        0.268
       0.219 |        0.185 |        0.403
       0.074 |        0.212 |        0.286
       0.243 |        0.205 |        0.448
       0.055 |        0.195 |        0.250
       0.216 |        0.270 |        0.486
       0.059 |        0.238 |        0.297
       0.071 |        0.935 |        1.006
       0.209 |        0.551 |        0.760
       0.727 |        0.508 |        1.235
       0.925 |        0.466 |        1.390
       0.636 |        0.415 |        1.051
       0.427 |        0.394 |        0.821
       0.076 |        0.447 |        0.522
       0.047 |        0.416 |        0.463
       0.104 |        0.559 |        0.663
       0.086 |        0.492 |        0.578
       0.247 |        0.533 |        0.780
       0.395 |        0.546 |        0.941
       0.442 |        0.482 |        0.924
       0.267 |        0.488 |        0.755
       0.159 |        0.397 |        0.556
       0.062 |        0.327 |        0.390
       0.076 |        0.317 |        0.393
       0.073 |        0.358 |        0.431
       0.463 |        0.344 |        0.807
       0.794 |        0.367 |        1.162
       0.669 |        0.360 |        1.028
       0.173 |        0.382 |        0.555
       0.431 |        0.342 |        0.773
       0.325 |        0.337 |        0.661
       0.248 |        0.331 |        0.579
       0.563 |        0.308 |        0.871
       0.240 |        0.321 |        0.561
       0.245 |        0.303 |        0.548
       0.473 |        0.277 |        0.750
       0.236 |        0.284 |        0.520
       0.236 |        0.268 |        0.504
       0.348 |        0.258 |        0.605
       0.110 |        0.225 |        0.335
       0.104 |        0.239 |        0.343
       0.058 |        0.146 |        0.203
       0.094 |        0.168 |        0.261
       0.253 |        0.187 |        0.440
       0.336 |        0.187 |        0.523
       0.078 |        0.207 |        0.285
       0.208 |        0.195 |        0.403
       0.208 |        0.233 |        0.440
       0.475 |        0.243 |        0.718
       0.208 |        0.241 |        0.449
       0.059 |        0.260 |        0.319
       0.073 |        0.311 |        0.384
       0.073 |        0.318 |        0.390
       0.181 |        0.345 |        0.526
       0.077 |        0.347 |        0.424
       0.100 |        0.376 |        0.476
       0.211 |        0.371 |        0.583
       0.456 |        0.328 |        0.784
       0.751 |        0.303 |        1.054
       0.729 |        0.306 |        1.035
       0.611 |        0.272 |        0.882
       0.073 |        0.261 |        0.334
       0.403 |        0.250 |        0.653
       0.071 |        0.252 |        0.323
       0.207 |        0.280 |        0.487
       0.464 |        0.279 |        0.743
       0.228 |        0.341 |        0.568
       0.076 |        0.306 |        0.382
       0.220 |        0.416 |        0.636
       0.086 |        0.403 |        0.490
       0.165 |        0.403 |        0.568
       0.100 |        0.403 |        0.503
       0.540 |        0.386 |        0.925
       0.885 |        0.341 |        1.226
       1.250 |        0.330 |        1.580
       1.650 |        0.299 |        1.949
       0.935 |        0.275 |        1.210
       0.701 |        0.256 |        0.957
       0.075 |        0.266 |        0.342
