  QueueTimes | ServiceTimes | SojournTimes
       0.104 |        0.221 |        0.325
       0.109 |        0.201 |        0.310
       0.172 |        0.212 |        0.384
       0.191 |        0.220 |        0.411
       0.123 |        0.202 |        0.325
       0.052 |        0.205 |        0.258
       0.172 |        0.211 |        0.383
       0.203 |        0.203 |        0.406
       0.242 |        0.215 |        0.457
       0.418 |        0.250 |        0.668
       0.163 |        0.219 |        0.382
       0.232 |        0.250 |        0.482
       0.060 |        0.201 |        0.261
       0.210 |        0.219 |        0.429
       0.107 |        0.203 |        0.310
       0.196 |        0.293 |        0.489
       0.075 |        0.226 |        0.301
       0.052 |        0.227 |        0.279
       0.018 |        0.216 |        0.233
       0.187 |        0.199 |        0.386
       0.052 |        0.199 |        0.251
       0.177 |        0.251 |        0.428
       0.300 |        0.203 |        0.502
       0.348 |        0.219 |        0.568
       0.052 |        0.202 |        0.254
       0.161 |        0.201 |        0.362
       0.167 |        0.211 |        0.378
       0.378 |        0.200 |        0.579
       0.199 |        0.217 |        0.417
       0.180 |        0.306 |        0.487
       0.352 |        0.198 |        0.551
       0.368 |        0.277 |        0.646
       0.240 |        0.230 |        0.470
       0.197 |        0.198 |        0.395
       0.174 |        0.225 |        0.399
       0.415 |        0.215 |        0.630
       0.229 |        0.225 |        0.454
       0.160 |        0.240 |        0.399
       0.386 |        0.208 |        0.594
       0.071 |        0.227 |        0.298
       0.052 |        0.201 |        0.253
       0.282 |        0.204 |        0.486
       0.416 |        0.216 |        0.632
       0.315 |        0.213 |        0.529
       0.052 |        0.229 |        0.281
       0.170 |        0.218 |        0.388
       0.053 |        0.243 |        0.295
       0.052 |        0.311 |        0.363
       0.019 |        0.203 |        0.222
       0.065 |        0.197 |        0.262
       0.009 |        0.226 |        0.234
       0.111 |        0.217 |        0.328
       0.304 |        0.200 |        0.504
       0.068 |        0.238 |        0.306
       0.142 |        0.203 |        0.345
       0.061 |        0.252 |        0.313
       0.055 |        0.282 |        0.337
       0.240 |        0.205 |        0.445
       0.030 |        0.239 |        0.269
       0.173 |        0.249 |        0.423
       0.359 |        0.254 |        0.613
       0.073 |        0.224 |        0.297
       0.052 |        0.245 |        0.298
       0.052 |        0.204 |        0.257
       0.064 |        0.247 |        0.311
       0.304 |        0.237 |        0.542
       0.024 |        0.213 |        0.237
       0.058 |        0.219 |        0.276
       0.319 |        0.414 |        0.733
       0.054 |        0.260 |        0.313
       0.052 |        0.228 |        0.280
       0.288 |        0.209 |        0.498
       0.372 |        0.199 |        0.571
       0.513 |        0.203 |        0.716
       0.059 |        0.357 |        0.416
       0.011 |        0.235 |        0.246
       0.072 |        0.268 |        0.340
       0.052 |        0.201 |        0.253
       0.008 |        0.201 |        0.209
       0.133 |        0.240 |        0.374
       0.260 |        0.232 |        0.492
       0.390 |        0.198 |        0.588
       0.302 |        0.201 |        0.503
       0.094 |        0.232 |        0.325
       0.245 |        0.209 |        0.454
       0.078 |        0.253 |        0.332
       0.166 |        0.232 |        0.398
       0.014 |        0.216 |        0.230
       0.209 |        0.244 |        0.452
       0.143 |        0.215 |        0.358
       0.045 |        0.217 |        0.262
       0.244 |        0.214 |        0.458
       0.053 |        0.211 |        0.264
       0.058 |        0.208 |        0.266
       0.174 |        0.278 |        0.452
       0.428 |        0.222 |        0.650
       0.168 |        0.216 |        0.384
       0.158 |        0.227 |        0.385
       0.378 |        0.210 |        0.588
       0.403 |        0.222 |        0.625
       0.034 |        0.389 |        0.423
       0.034 |        0.214 |        0.248
       0.200 |        0.199 |        0.400
       0.347 |        0.202 |        0.549
       0.031 |        0.207 |        0.238
       0.171 |        0.221 |        0.393
       0.225 |        0.204 |        0.429
       0.052 |        0.214 |        0.267
       0.071 |        0.271 |        0.342
       0.215 |        0.214 |        0.429
       0.374 |        0.201 |        0.575
       0.575 |        0.199 |        0.774
       0.120 |        0.199 |        0.318
       0.267 |        0.216 |        0.484
       0.052 |        0.247 |        0.299
       0.056 |        0.228 |        0.284
       0.196 |        0.233 |        0.429
       0.320 |        0.227 |        0.546
       0.053 |        0.206 |        0.259
       0.178 |        0.214 |        0.391
       0.190 |        0.204 |        0.394
       0.184 |        0.251 |        0.435
       0.005 |        0.208 |        0.214
       0.032 |        0.230 |        0.262
       0.198 |        0.257 |        0.455
       0.072 |        0.264 |        0.336
       0.373 |        0.268 |        0.641
       0.625 |        0.235 |        0.861
       0.375 |        0.308 |        0.683
       0.489 |        0.252 |        0.741
       0.586 |        0.245 |        0.830
       0.069 |        0.261 |        0.330
       0.125 |        0.235 |        0.361
       0.157 |        0.289 |        0.446
       0.430 |        0.245 |        0.675
       0.073 |        0.257 |        0.329
       0.158 |        0.238 |        0.396
       0.018 |        0.237 |        0.254
       0.166 |        0.268 |        0.434
       0.069 |        0.282 |        0.351
       0.113 |        0.263 |        0.376
       0.208 |        0.250 |        0.458
       0.162 |        0.273 |        0.435
       0.053 |        0.250 |        0.303
       0.067 |        0.274 |        0.341
       0.052 |        0.239 |        0.291
       0.148 |        0.234 |        0.382
       0.361 |        0.253 |        0.614
       0.589 |        0.247 |        0.836
       0.815 |        0.254 |        1.068
       0.420 |        0.244 |        0.664
       0.403 |        0.260 |        0.663
       0.575 |        0.238 |        0.813
       0.283 |        0.235 |        0.518
       0.069 |        0.339 |        0.407
       0.390 |        0.239 |        0.629
       0.154 |        0.281 |        0.435
       0.457 |        0.263 |        0.721
       0.697 |        0.286 |        0.983
       0.900 |        0.241 |        1.141
       0.729 |        0.235 |        0.964
       0.983 |        0.261 |        1.243
       0.453 |        0.234 |        0.687
       0.717 |        0.234 |        0.951
       0.160 |        0.345 |        0.506
       0.004 |        0.248 |        0.252
       0.163 |        0.261 |        0.424
       0.025 |        0.238 |        0.263
       0.180 |        0.242 |        0.422
       0.170 |        0.235 |        0.405
       0.072 |        0.286 |        0.357
       0.055 |        0.251 |        0.306
       0.161 |        0.289 |        0.450
       0.031 |        0.271 |        0.303
       0.053 |        0.384 |        0.436
       0.053 |        0.240 |        0.293
       0.326 |        0.234 |        0.560
       0.489 |        0.237 |        0.726
